Rj,Fig2ne,ne^.5,"(ne^,5)x25"
5.11E+00,1252.301736,35.38787555,884.6968889
5.12E+00,1280.602457,35.78550624,894.6376559
5.13E+00,1312.568903,36.2293928,905.73482
5.14E+00,1351.729289,36.76587126,919.1467814
5.15E+00,1404.134722,37.47178568,936.7946419
5.16E+00,1465.455028,38.2812621,957.0315524
5.17E+00,1531.263927,39.13136756,978.284189
5.18E+00,1596.145177,39.95178565,998.7946412
5.19E+00,1650.59286,40.62748898,1015.687224
5.20E+00,1696.325195,41.18646859,1029.661715
5.21E+00,1735.15669,41.65521204,1041.380301
5.22E+00,1769.479846,42.06518567,1051.629642
5.23E+00,1804.293828,42.47697998,1061.924499
5.24E+00,1837.474336,42.86577114,1071.644279
5.25E+00,1857.698222,43.10102344,1077.525586
5.26E+00,1921.46823,43.83455521,1095.86388
5.27E+00,1985.449164,44.55837928,1113.959482
5.28E+00,1893.080597,43.50954604,1087.738651
5.29E+00,1800.945044,42.43754286,1060.938571
5.30E+00,1682.236869,41.01508099,1025.377025
5.31E+00,1583.130668,39.78857459,994.7143649
5.32E+00,1501.417403,38.74812774,968.7031935
5.33E+00,1442.843086,37.9847744,949.6193601
5.34E+00,1380.363472,37.15324309,928.8310772
5.35E+00,1300.63282,36.06428732,901.607183
5.36E+00,1204.002735,34.69874255,867.4685638
5.37E+00,1115.780301,33.40329775,835.0824437
5.38E+00,1081.912815,32.89244312,822.3110781
5.39E+00,1067.103422,32.66654897,816.6637243
5.40E+00,1060.496627,32.56526718,814.1316795
5.41E+00,1055.662163,32.4909551,812.2738774
5.42E+00,1050.438246,32.41046507,810.2616268
5.43E+00,1044.612552,32.32046645,808.0116613
5.44E+00,1039.015612,32.23376509,805.8441272
5.45E+00,1034.979171,32.17109217,804.2773041
5.46E+00,1033.649871,32.15042568,803.760642
5.47E+00,1034.552049,32.16445319,804.1113297
5.48E+00,1038.102143,32.21959253,805.4898133
5.49E+00,1043.02105,32.29583642,807.3959105
5.50E+00,1048.664403,32.38308822,809.5772054
5.51E+00,1053.490133,32.45751274,811.4378185
5.52E+00,1058.535541,32.53514318,813.3785794
5.53E+00,1061.224301,32.57643781,814.4109453
5.54E+00,1065.256751,32.63827126,815.9567815
5.55E+00,1087.655581,32.97962373,824.4905933
5.56E+00,1133.088035,33.66137303,841.5343259
5.57E+00,1275.851362,35.71906161,892.9765402
5.58E+00,1552.902439,39.40688314,985.1720786
5.59E+00,1898.856144,43.57586653,1089.396663
5.60E+00,2256.405104,47.50163265,1187.540816
5.61E+00,2448.606579,49.483397,1237.084925
5.62E+00,2604.268623,51.03203527,1275.800882
5.63E+00,2738.860702,52.33412559,1308.35314
5.64E+00,2836.105249,53.25509599,1331.3774
5.65E+00,2921.849795,54.05413763,1351.353441
5.66E+00,3022.031467,54.97300671,1374.325168
5.67E+00,3113.418165,55.7980122,1394.950305
5.68E+00,3133.035386,55.97352398,1399.338099
5.69E+00,3149.143872,56.11723329,1402.930832
5.70E+00,3281.787109,57.28688427,1432.172107
5.71E+00,3150.344378,56.12792868,1403.198217
5.72E+00,3009.375339,54.85777373,1371.444343
5.73E+00,2945.610081,54.27347493,1356.836873
5.74E+00,2878.417845,53.65088858,1341.272214
5.75E+00,2804.302127,52.9556619,1323.891547
5.76E+00,2748.676256,52.42781948,1310.695487
5.77E+00,2702.802082,51.98848028,1299.712007
5.78E+00,2665.398568,51.62749818,1290.687454
5.79E+00,2638.585568,51.3671643,1284.179107
5.80E+00,2622.20839,51.20750326,1280.187581
5.81E+00,2612.102025,51.10872749,1277.718187
5.82E+00,2601.119483,51.00117138,1275.029285
5.83E+00,2588.566275,50.8779547,1271.948868
5.84E+00,2574.308808,50.73764685,1268.441171
5.85E+00,2557.506616,50.57179665,1264.294916
5.86E+00,2538.305785,50.38160165,1259.540041
5.87E+00,2517.427151,50.17396886,1254.349222
5.88E+00,2495.637482,49.95635577,1248.908894
5.89E+00,2472.896302,49.7282244,1243.20561
5.90E+00,2450.163396,49.49912521,1237.47813
5.91E+00,2427.566806,49.27034408,1231.758602
5.92E+00,2405.118531,49.04200782,1226.050195
5.93E+00,2382.598849,48.81187201,1220.2968
5.94E+00,2360.194652,48.58183459,1214.545865
5.95E+00,2337.664177,48.34939686,1208.734922
5.96E+00,2322.331035,48.19056998,1204.764249
5.97E+00,2315.347473,48.11805766,1202.951441
5.98E+00,2304.142283,48.00148209,1200.037052
