YMD,startHMS,startSSM(s),stopSSM(s),idnum,dispersionConstant,burstOrSurvey,electricOrMagnetic,altitude(km),radius(RJ),mshell,mlat(deg),lat(deg),jovigraphic_latitude(deg),centrifugal_latitude(deg),mlt(hours),lt(hours),io_phase(deg),longitude(deg),footlat(deg),footlon(deg)
20191103,213141,77501,77504,20,744.024,Survey,Electric,62893,1.8237,6.0766,57.938,67.995,69.3708,61.7662,21.0975,20.85,335.875,29.488,82.354,44.257
20191103,213141,77501,77507,20,623.25,Survey,Magnetic,62851,1.8231,6.0794,57.954,68.01,69.3853,61.782,21.096,20.85,335.92,29.545,82.356,44.401
20191103,213206,77526,77531,21,2365.373,Survey,Electric,62162,1.8133,6.1264,58.224,68.254,69.6236,62.0421,21.0715,20.8,336.669,30.489,82.387,46.787
20191103,213218,77538,77544,22,596.097,Survey,Magnetic,61812,1.8083,6.1521,58.361,68.377,69.7465,62.1775,21.059,20.78,337.065,30.987,82.396,48.032
20191103,213237,77557,77560,23,557.705,Survey,Electric,61322,1.8013,6.1879,58.553,68.549,69.9186,62.3671,21.0415,20.74,337.619,31.684,82.408,49.776
20191103,213237,77557,77561,23,649.764,Survey,Magnetic,61308,1.8011,6.189,58.559,68.553,69.9235,62.3725,21.041,20.74,337.635,31.703,82.408,49.826
20191103,213300,77580,77586,24,605.329,Survey,Electric,60636,1.7915,6.2387,58.825,68.79,70.1585,62.6325,21.0165,20.69,338.405,32.667,82.422,52.225
20191103,213300,77580,77586,24,646.154,Survey,Magnetic,60636,1.7915,6.2387,58.825,68.79,70.1585,62.6325,21.0165,20.69,338.405,32.667,82.422,52.225
20191103,213433,77673,77676,25,561.424,Survey,Electric,58080,1.7551,6.4538,59.877,69.689,71.0277,63.6295,20.9097,20.49,341.665,36.654,82.373,61.661
20191103,213522,77722,77726,26,525.793,Survey,Electric,56698,1.7354,6.5848,60.45,70.168,71.49,64.178,20.848,20.37,343.6,38.966,82.294,66.852
20191103,213609,77769,77771,27,614.331,Survey,Electric,55413,1.7172,6.716,60.988,70.602,71.91,64.6933,20.785,20.25,345.533,41.215,82.185,71.706
20191103,213654,77814,77818,28,1264.368,Survey,Electric,54141,1.699,6.8586,61.533,71.023,72.324,65.2147,20.716,20.12,347.527,43.584,82.037,76.57
20191103,213847,77927,77931,29,848.086,Survey,Electric,51012,1.6546,7.2727,62.896,72.007,73.2802,66.5135,20.5302,19.77,353.032,49.991,81.481,88.357
20191103,213858,77938,77943,30,1030.961,Survey,Electric,50696,1.6501,7.3182,63.036,72.104,73.3738,66.6458,20.5092,19.74,353.627,50.672,81.414,89.543
20200725,021731.000,8251,8255,31,946.061,Survey,Electric,349485,5.879,6.6479,19.053,22.204,22.6395,20.8955,21.9345,22.15,55.878,302.385,71.665,273.915
20200725,021731.000,8251,8255,31,879.486,Survey,Magnetic,349485,5.879,6.6479,19.053,22.204,22.6395,20.8955,21.9345,22.15,55.878,302.385,71.665,273.915
20200725,022616.000,8776,8786,32,1108.805,Survey,Electric,338045,5.7185,6.4563,18.863,22.931,23.3915,21.0135,21.92,22.14,57.34,307.91,71.897,281.355
20200725,022616.000,8776,8786,32,1092.801,Survey,Magnetic,338045,5.7185,6.4563,18.863,22.931,23.3915,21.0135,21.92,22.14,57.34,307.91,71.897,281.355
20200725,022640.000,8800,8807,33,1770.594,Survey,Electric,337558,5.7116,6.4481,18.856,22.965,23.4252,21.0173,21.92,22.14,57.403,308.135,71.904,281.666
20200725,022638.000,8798,8807,33,1892.217,Survey,Magnetic,337579,5.7119,6.4484,18.856,22.964,23.4237,21.0171,21.92,22.14,57.4,308.125,71.904,281.652
20200725,022727.000,8847,8853,34,919.179,Survey,Electric,336550,5.6974,6.4315,18.84,23.03,23.495,21.03,21.92,22.14,57.53,308.65,71.918,282.304
20200725,022727.000,8847,8853,34,987.369,Survey,Magnetic,336550,5.6974,6.4315,18.84,23.03,23.495,21.03,21.92,22.14,57.53,308.65,71.918,282.304
20200725,022751.000,8871,8882,35,2055.111,Survey,Electric,335976,5.6892,6.4222,18.831,23.065,23.5347,21.0388,21.92,22.14,57.601,308.959,71.925,282.668
20200725,022751.000,8871,8882,35,1916.157,Survey,Magnetic,335976,5.6892,6.4222,18.831,23.065,23.5347,21.0388,21.92,22.14,57.601,308.959,71.925,282.668
20200725,022813.000,8893,8903,36,2781.819,Survey,Electric,335510,5.6826,6.4147,18.827,23.097,23.567,21.046,21.92,22.14,57.661,309.18,71.931,282.961
20200725,022813.000,8893,8903,36,2899.807,Survey,Magnetic,335510,5.6826,6.4147,18.827,23.097,23.567,21.046,21.92,22.14,57.661,309.18,71.931,282.961
20200725,022835.000,8915,8925,37,3717.408,Survey,Electric,335033,5.6759,6.407,18.823,23.13,23.6,21.0533,21.92,22.13,57.723,309.4,71.937,283.261
20200725,022858.000,8938,8949,38,4165.69,Survey,Electric,334524,5.6687,6.3988,18.819,23.165,23.6352,21.0612,21.9194,22.13,57.79,309.635,71.943,283.581
20200725,022859.000,8939,8945,39,862.926,Survey,Electric,334557,5.6692,6.3993,18.819,23.163,23.633,21.0607,21.9197,22.13,57.786,309.62,71.942,283.561
20200725,022958.000,8998,9004,40,932.196,Survey,Electric,333277,5.651,6.3786,18.8,23.251,23.7215,21.0803,21.91,22.13,57.953,310.21,71.957,284.36
20200725,022958.000,8998,9004,40,1123.663,Survey,Magnetic,333277,5.651,6.3786,18.8,23.251,23.7215,21.0803,21.91,22.13,57.953,310.21,71.957,284.36
20200725,023021.000,9021,9029,41,1992.039,Survey,Electric,332717,5.6437,6.3702,18.796,23.283,23.7575,21.0883,21.91,22.13,58.021,310.45,71.962,284.683
20200725,023155.000,9115,9122,42,865.994,Survey,Electric,330632,5.6149,6.3375,18.78,23.418,23.8977,21.1195,21.91,22.13,58.276,311.483,71.982,285.937
20200725,023155.000,9115,9122,42,1057.891,Survey,Magnetic,330632,5.6149,6.3375,18.78,23.418,23.8977,21.1195,21.91,22.13,58.276,311.483,71.982,285.937
20200725,023218.000,9138,9145,43,2170.16,Survey,Electric,330134,5.6078,6.3295,18.773,23.452,23.9322,21.1272,21.91,22.13,58.341,311.715,71.986,286.242
20200725,023218.000,9138,9145,43,1738.78,Survey,Magnetic,330134,5.6078,6.3295,18.773,23.452,23.9322,21.1272,21.91,22.13,58.341,311.715,71.986,286.242
20200725,023347.000,9227,9235,44,997.23,Survey,Electric,328195,5.5802,6.2981,18.752,23.587,24.0665,21.157,21.91,22.13,58.594,312.61,72.003,287.426
20200725,023347.000,9227,9235,44,1064.234,Survey,Magnetic,328195,5.5802,6.2981,18.752,23.587,24.0665,21.157,21.91,22.13,58.594,312.61,72.003,287.426
20200725,023410.000,9250,9257,45,1884.825,Survey,Electric,327708,5.5732,6.2903,18.75,23.62,24.1025,21.1645,21.91,22.13,58.658,312.857,72.007,287.722
20200725,023410.000,9250,9257,45,2030.874,Survey,Magnetic,327708,5.5732,6.2903,18.75,23.62,24.1025,21.1645,21.91,22.13,58.658,312.857,72.007,287.722
